Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Units_Sold_new
West Gear,1185732,09/12/2021,West,Utah,Salt Lake City,Women's Street Footwear,$10.00 ,350,"3,500","$1,225 ",In-store,350
Amazon,1185732,04/10/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online,350
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,350,"8,750","$3,500 ",Online,350
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online,350
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$10.00 ,350,"3,500","$1,400 ",Online,350
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",Online,350
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,350,"5,250","$2,100 ",Online,350
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$20.00 ,350,"7,000","$2,800 ",Online,350
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$20.00 ,350,"7,000","$2,450 ",Online,350
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$25.00 ,350,"8,750","$3,063 ",Online,350
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,350,"5,250","$1,838 ",Online,350
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,$25.00 ,350,"8,750","$3,063 ",Online,350
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,$25.00 ,350,"8,750","$3,500 ",In-store,350
Foot Locker,1185732,01/03/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,350,"1,120",$414 ,Outlet,350
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,350,"1,260",$365 ,Outlet,350
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,350,"1,505",$497 ,Outlet,350
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$45.00 ,350,"1,575",$473 ,Outlet,350
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$38.00 ,350,"1,330",$758 ,Outlet,350
Foot Locker,1185732,01/09/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$26.00 ,349,907,$426 ,Outlet,349
Foot Locker,1185732,03/09/2020,Northeast,New York,New York,Women's Apparel,$46.00 ,347,"1,596",$511 ,Outlet,347
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,345,"6,900","$2,415 ",In-store,345
West Gear,1128299,01/06/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,"1,398",$601 ,Outlet,341
Foot Locker,1185732,03/05/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,340,"1,394",$474 ,Outlet,340
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$48.00 ,340,"1,632",$490 ,Outlet,340
West Gear,1128299,01/12/2021,West,California,San Francisco,Men's Street Footwear,$41.00 ,338,"1,386",$527 ,Outlet,338
Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,$47.00 ,336,"1,579",$963 ,Online,336
Foot Locker,1185732,02/05/2020,Northeast,New York,New York,Women's Apparel,$39.00 ,333,"1,299",$351 ,Outlet,333
Walmart,1185732,05/05/2020,Northeast,New York,New York,Women's Street Footwear,$42.00 ,333,"1,399",$559 ,Outlet,333
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$32.00 ,333,"1,066",$426 ,Outlet,333
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$34.00 ,333,"1,132",$476 ,Outlet,333
West Gear,1128299,02/12/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,332,"1,527",$321 ,Outlet,332
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,$35.00 ,332,"1,162",$546 ,Outlet,332
Foot Locker,1185732,01/06/2020,Northeast,New York,New York,Women's Apparel,$38.00 ,330,"1,254",$401 ,Outlet,330
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,330,"1,650",$462 ,Outlet,330
Foot Locker,1185732,08/06/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$62.00 ,326,"2,021","$1,152 ",Online,326
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store,325
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",In-store,325
West Gear,1185732,01/11/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$20.00 ,325,"6,500","$2,600 ",In-store,325
West Gear,1185732,04/11/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,$25.00 ,325,"8,125","$2,844 ",In-store,325
West Gear,1185732,04/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$15.00 ,325,"4,875","$1,706 ",In-store,325
West Gear,1185732,09/12/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$10.00 ,325,"3,250","$1,300 ",In-store,325
West Gear,1185732,09/12/2021,West,Utah,Salt Lake City,Men's Apparel,$20.00 ,325,"6,500","$2,275 ",In-store,325
Amazon,1185732,03/09/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online,325
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$25.00 ,325,"8,125","$3,250 ",Online,325
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online,325
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,$15.00 ,325,"4,875","$1,950 ",Online,325
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,$25.00 ,325,"8,125","$2,844 ",Online,325
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,325,"4,875","$1,950 ",Online,325
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$20.00 ,325,"6,500","$2,275 ",Online,325
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,$20.00 ,325,"6,500","$2,275 ",Online,325
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,$20.00 ,325,"6,500","$2,600 ",In-store,325
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,$58.00 ,325,"1,885","$1,150 ",Online,325
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,$40.00 ,324,"1,296",$518 ,Outlet,324
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$63.00 ,323,"2,035","$1,140 ",Online,323
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$32.00 ,323,"1,034",$393 ,Outlet,323
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,$36.00 ,323,"1,163",$314 ,Outlet,323
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,323,"1,066",$448 ,Outlet,323
Walmart,1185732,05/02/2020,Northeast,New York,New York,Women's Apparel,$53.00 ,322,"1,707",$478 ,Outlet,322
West Gear,1128299,02/11/2021,West,California,San Francisco,Men's Street Footwear,$40.00 ,322,"1,288",$425 ,Outlet,322
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,$33.00 ,322,"1,063",$446 ,Outlet,322
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,$30.00 ,322,966,$483 ,Outlet,322
Sports Direct,1197831,09/08/2021,South,Alabama,Birmingham,Women's Street Footwear,$31.00 ,322,998,$559 ,Outlet,322
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$25.00 ,320,"8,000","$3,200 ",Online,320
Foot Locker,1185732,01/02/2020,Northeast,New York,New York,Men's Athletic Footwear,$36.00 ,320,"1,152",$403 ,Outlet,320
Foot Locker,1185732,03/03/2020,Northeast,New York,New York,Women's Apparel,$44.00 ,320,"1,408",$408 ,Outlet,320
Foot Locker,1185732,03/10/2020,Northeast,New York,New York,Men's Street Footwear,$59.00 ,319,"1,882","$1,129 ",Online,319
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$37.00 ,319,"1,180",$531 ,Online,319
Foot Locker,1185732,08/12/2020,Southeast,Florida,Miami,Men's Street Footwear,$43.00 ,319,"1,372",$782 ,Online,319
Foot Locker,1185732,03/11/2020,Northeast,New York,New York,Men's Athletic Footwear,$41.00 ,318,"1,304",$482 ,Outlet,318
Foot Locker,1185732,02/06/2020,Northeast,New York,New York,Men's Street Footwear,$54.00 ,317,"1,712","$1,096 ",Online,317
Foot Locker,1185732,01/08/2020,Northeast,New York,New York,Men's Athletic Footwear,$39.00 ,315,"1,229",$405 ,Outlet,315
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"1,103",$397 ,Outlet,315
Foot Locker,1185732,02/01/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,315,"1,103",$364 ,Outlet,315
Foot Locker,1185732,02/02/2020,Northeast,New York,New York,Women's Street Footwear,$28.00 ,315,882,$335 ,Outlet,315
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$36.00 ,315,"1,134",$442 ,Outlet,315
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$44.00 ,315,"1,386",$513 ,Outlet,315
Walmart,1197831,08/12/2020,South,Texas,Houston,Men's Street Footwear,$24.00 ,315,756,$295 ,Outlet,315
Walmart,1197831,09/07/2020,South,Texas,Houston,Women's Street Footwear,$36.00 ,315,"1,134",$431 ,Outlet,315
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,$39.00 ,315,"1,229",$565 ,Outlet,315
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,$27.00 ,314,848,$348 ,Outlet,314
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,314,"1,162",$430 ,Outlet,314
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,$39.00 ,314,"1,225",$576 ,Outlet,314
Foot Locker,1185732,01/07/2020,Northeast,New York,New York,Men's Street Footwear,$46.00 ,313,"1,440",$893 ,Online,313
Foot Locker,1185732,03/04/2020,Northeast,New York,New York,Men's Street Footwear,$55.00 ,313,"1,722","$1,050 ",Online,313
Walmart,1185732,05/03/2020,Northeast,New York,New York,Men's Street Footwear,$62.00 ,312,"1,934","$1,238 ",Online,312
Foot Locker,1185732,02/07/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,$38.00 ,312,"1,186",$700 ,Online,312
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$40.00 ,312,"1,248",$449 ,Outlet,312
Foot Locker,1185732,07/05/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,$63.00 ,311,"1,959","$1,156 ",Online,311
Walmart,1185732,05/04/2020,Northeast,New York,New York,Men's Athletic Footwear,$43.00 ,310,"1,333",$467 ,Outlet,310
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,$53.00 ,308,"1,632",$669 ,Online,308
Sports Direct,1185732,08/03/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$61.00 ,308,"1,879",$996 ,Online,308
Foot Locker,1185732,01/05/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"1,316",$487 ,Outlet,306
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$43.00 ,306,"1,316",$461 ,Outlet,306
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$34.00 ,306,"1,040",$406 ,Outlet,306
Walmart,1185732,05/06/2020,Northeast,New York,New York,Women's Athletic Footwear,$41.00 ,306,"1,255",$502 ,Outlet,306
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$20.00 ,306,612,$257 ,Outlet,306
Sports Direct,1197831,08/06/2020,South,Texas,Houston,Men's Street Footwear,$23.00 ,306,704,$260 ,Outlet,306
Sports Direct,1197831,08/07/2020,South,Texas,Houston,Men's Athletic Footwear,$29.00 ,306,887,$364 ,Outlet,306
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$31.00 ,306,949,$379 ,Outlet,306
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$41.00 ,306,"1,255",$690 ,Outlet,306
West Gear,1128299,01/11/2021,West,California,San Francisco,Women's Apparel,$60.00 ,306,"1,836",$477 ,Outlet,306
West Gear,1128299,02/06/2021,West,California,San Francisco,Men's Athletic Footwear,$46.00 ,306,"1,408",$282 ,Outlet,306
Kohl's,1189833,05/01/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,306,"1,102",$496 ,Outlet,306
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,$37.00 ,306,"1,132",$668 ,Outlet,306
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,$62.00 ,306,"1,897",$816 ,Outlet,306
Foot Locker,1185732,03/09/2020,Northeast,New York,New York,Women's Apparel,$64.00 ,305,"1,952",$761 ,Online,305
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$27.00 ,305,824,$305 ,Outlet,305
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$33.00 ,305,"1,007",$382 ,Outlet,305
Foot Locker,1197831,08/08/2021,West,Idaho,Boise,Women's Street Footwear,$39.00 ,305,"1,190",$511 ,Outlet,305
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,304,"1,824","$1,040 ",Online,304
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$36.00 ,302,"1,087",$565 ,Outlet,302
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,$45.00 ,302,"1,359",$544 ,Outlet,302
Sports Direct,1197831,04/01/2021,South,Tennessee,Knoxville,Men's Apparel,$30.00 ,300,"9,000","$3,150 ",Outlet,300
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,$30.00 ,300,"9,000","$4,050 ",Outlet,300
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$30.00 ,300,"9,000","$3,150 ",In-store,300
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",In-store,300
West Gear,1185732,02/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",In-store,300
West Gear,1185732,10/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,$20.00 ,300,"6,000","$2,100 ",In-store,300
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",Online,300
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online,300
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,$20.00 ,300,"6,000","$2,400 ",Online,300
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,$25.00 ,300,"7,500","$2,625 ",Online,300
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,$15.00 ,300,"4,500","$1,800 ",Online,300
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,$20.00 ,300,"6,000","$2,400 ",Online,300
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,$15.00 ,300,"4,500","$1,575 ",Online,300
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,$15.00 ,300,"4,500","$1,575 ",Online,300
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online,300
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,$30.00 ,300,"9,000","$3,150 ",Online,300
West Gear,1185732,06/03/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$30.00 ,300,"9,000","$3,150 ",In-store,300
West Gear,1185732,01/10/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,$25.00 ,300,"7,500","$2,625 ",In-store,300
West Gear,1185732,02/10/2021,Midwest,Indiana,Indianapolis,Women's Apparel,$20.00 ,300,"6,000","$2,400 ",In-store,300
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$25.00 ,300,"7,500","$3,000 ",In-store,300
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,$30.00 ,300,"9,000","$3,600 ",In-store,300
Sports Direct,1185732,01/07/2021,Northeast,New Jersey,Newark,Women's Street Footwear,$30.00 ,300,"9,000","$2,700 ",In-store,300
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,$45.00 ,300,"1,350",$837 ,Online,300
Walmart,1185732,05/04/2020,Northeast,New York,New York,Men's Athletic Footwear,$51.00 ,300,"1,530",$643 ,Online,300
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,$52.00 ,300,"1,560",$874 ,Online,300
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$60.00 ,299,"1,794","$1,076 ",Online,299
West Gear,1185732,09/11/2020,Southeast,Florida,Miami,Men's Street Footwear,$60.00 ,299,"1,794","$1,076 ",Online,299
Walmart,1197831,09/10/2020,South,Texas,Houston,Women's Apparel,$42.00 ,298,"1,252",$713 ,Outlet,298
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$38.00 ,298,"1,132",$430 ,Outlet,298
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,$60.00 ,298,"1,788",$751 ,Outlet,298
Walmart,1197831,09/01/2020,South,Texas,Houston,Women's Street Footwear,$39.00 ,297,"1,158",$533 ,Online,297
Foot Locker,1185732,03/07/2020,Northeast,New York,New York,Women's Athletic Footwear,$38.00 ,297,"1,129",$429 ,Outlet,297
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,$36.00 ,297,"1,069",$470 ,Outlet,297
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,$68.00 ,297,"2,020",$747 ,Outlet,297
Foot Locker,1185732,02/07/2020,Northeast,New York,New York,Men's Athletic Footwear,$37.00 ,296,"1,095",$383 ,Outlet,296
Foot Locker,1185732,03/06/2020,Northeast,New York,New York,Women's Street Footwear,$37.00 ,296,"1,095",$449 ,Outlet,296
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,$25.00 ,295,"7,375","$2,581 ",In-store,295
Foot Locker,1185732,03/12/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,295,"1,033",$434 ,Outlet,295
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$32.00 ,295,944,$538 ,Outlet,295
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$28.00 ,295,826,$339 ,Outlet,295
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$29.00 ,295,856,$342 ,Outlet,295
Sports Direct,1185732,07/02/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,$60.00 ,294,"1,764",$882 ,Online,294
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$43.00 ,294,"1,264",$531 ,Outlet,294
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$47.00 ,293,"1,377",$868 ,Online,293
